candidate_id,rank,score,capability_match,career_evidence_fit,production_experience_fit,behavioral_fit,experience_alignment,logistics_fit,recruiter_demand,honeypot_risk,disqualifier_risk,matched_evidence,concerns,disqualifier_concerns,reasoning,manual_label,manual_notes
CAND_0079387,1,0.6996,0.1946,0.9286,0.3641,0.8002,0.9667,0.6500,0.8933,0.0000,0.0000,recommendation; evaluation; search; ranking; relevance; ab_testing; retrieval,,,"AI Engineer with 6.9 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, offline evaluation, search, ranking, relevance matching, A/B testing and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0010257,2,0.6908,0.2250,0.8136,0.3874,0.8267,0.8333,0.7500,1.0000,0.0000,0.0000,ranking; recommendation; retrieval; search; relevance; ab_testing,,,"Senior Data Scientist with 6.5 years of experience in recommendation and retrieval systems. Career history includes work on ranking, recommendation, retrieval, search, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 120 days may slow hiring.",,
CAND_0044855,3,0.6848,0.1858,0.9286,0.3352,0.6940,0.8667,0.7500,1.0000,0.0000,0.0000,evaluation; recommendation; search; retrieval; ranking; relevance; ab_testing,,,"Senior Data Scientist with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, recommendation, search, retrieval, ranking, relevance matching and A/B testing-related systems, and recruiter response rate is 57%.",,
CAND_0080766,4,0.6790,0.1409,0.9714,0.4748,0.6630,0.4000,0.8500,1.0000,0.0000,0.0000,recommendation; ab_testing; ranking; search; relevance; evaluation; retrieval,,,"Staff Machine Learning Engineer with 8.8 years of experience in information retrieval and ranking systems. Career history includes work on recommendation, A/B testing, ranking, search, relevance matching, offline evaluation and retrieval-related systems, and recruiter response rate is 66%.",,
CAND_0018549,5,0.6781,0.2175,0.8425,0.3585,0.7317,0.9333,0.7500,0.9444,0.0000,0.0000,ranking; search; recommendation; retrieval; relevance; ab_testing,,,"Recommendation Systems Engineer with 6.8 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, recommendation, retrieval, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0006567,6,0.6764,0.2613,0.8071,0.3991,0.8395,0.7000,0.6500,1.0000,0.0000,0.0000,search; recommendation; ab_testing; ranking; relevance; retrieval,,,"Senior AI Engineer with 7.9 years of experience in recommendation and retrieval systems. Career history includes work on search, recommendation, A/B testing, ranking, relevance matching and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0077337,7,0.6680,0.2048,0.7854,0.3448,0.8643,1.0000,0.5000,0.9513,0.0000,0.0000,recommendation; ranking; ab_testing; search; retrieval; evaluation,,,"Staff Machine Learning Engineer with 7.0 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, A/B testing, search, retrieval and offline evaluation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0037980,8,0.6676,0.2271,0.8857,0.4280,0.7535,0.3333,0.8500,1.0000,0.0000,0.0000,ranking; recommendation; ab_testing; evaluation; relevance; retrieval; search,,,"Senior Applied Scientist with 9.0 years of experience in recommendation and retrieval systems. Career history includes work on ranking, recommendation, A/B testing, offline evaluation, relevance matching, retrieval and search-related systems, and the candidate is active on the platform as of 2026-03-28 and flagged open to work.",,
CAND_0039754,9,0.6660,0.2683,0.8714,0.2525,0.8433,0.5000,0.8500,1.0000,0.0000,0.0000,recommendation; ranking; search; evaluation; retrieval; ab_testing,,,"Senior Applied Scientist with 16.2 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, search, offline evaluation, retrieval and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0028793,10,0.6623,0.2247,0.9071,0.2057,0.7552,0.9333,0.6000,1.0000,0.0000,0.0000,search; evaluation; ranking; retrieval; relevance; ab_testing; recommendation,,,"Search Engineer with 7.2 years of experience in recommendation and retrieval systems. Career history includes work on search, offline evaluation, ranking, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-04-13 and flagged open to work. Notice period of 120 days may slow hiring.",,
