candidate_id,rank,score,technical_domain_fit,career_evidence_fit,production_experience_fit,behavioral_fit,experience_alignment,logistics_fit,honeypot_risk,matched_evidence,concerns,reasoning,manual_label,manual_notes
CAND_0039754,1,0.7796,0.9048,1,0.3636,0.8715,0.5,1,0,Senior Applied Scientist at Meta; Senior ML Engineer — Search & Ranking at Apple; Senior Applied Scientist at Observe.AI,,"16.2 years of experience as a Senior Applied Scientist with evidence of Senior Applied Scientist at Meta, Senior ML Engineer — Search & Ranking at Apple. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Indore, Madhya Pradesh.",MAYBE,production exp less
CAND_0077337,2,0.7465,0.7143,1,0.4545,0.8467,1,0.5,0,Staff Machine Learning Engineer at Paytm; Senior NLP Engineer at Razorpay; Senior NLP Engineer at Glance,,"7.0 years of experience as a Staff Machine Learning Engineer with evidence of Staff Machine Learning Engineer at Paytm, Senior NLP Engineer at Razorpay. Recently open to work, which improves shortlist usefulness.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0018549,3,0.7389,0.6667,1,0.3636,0.7747,0.9333,0.9,0,Recommendation Systems Engineer at Uber; Machine Learning Engineer at Flipkart,,"6.8 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at Uber, Machine Learning Engineer at Flipkart. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",MAYBE,production exp less
CAND_0079387,4,0.7284,0.619,1,0.3636,0.895,0.9667,0.7,0,AI Engineer at Microsoft; NLP Engineer at upGrad; Applied ML Engineer at Ola,,"6.9 years of experience as a AI Engineer with evidence of AI Engineer at Microsoft, NLP Engineer at upGrad. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Trivandrum, Kerala.",MAYBE,production exp less
CAND_0018499,5,0.7147,0.7619,0.94,0.2727,0.8559,0.9333,0.6,0,Senior Machine Learning Engineer at Zomato; Staff Machine Learning Engineer at Google; Senior Machine Learning Engineer at Flipkart,,"7.2 years of experience as a Senior Machine Learning Engineer with evidence of Senior Machine Learning Engineer at Zomato, Staff Machine Learning Engineer at Google. Recently open to work, which improves shortlist usefulness.",MAYBE,production exp less
CAND_0010257,6,0.7138,0.5714,1,0.4545,0.8445,0.8333,0.7,0,Senior Data Scientist at Google; Search Engineer at PharmEasy; Senior Data Scientist at Google,,"6.5 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Google, Search Engineer at PharmEasy. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Noida, Uttar Pradesh.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0046064,7,0.7077,0.8095,1,0.3636,0.8393,0.3667,0.7,0,Senior NLP Engineer at Salesforce; Lead AI Engineer at Verloop.io; Senior ML Engineer — Search & Ranking at Amazon,,"8.9 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Salesforce, Lead AI Engineer at Verloop.io. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",MAYBE,production exp less
CAND_0091909,8,0.7028,0.5238,1,0.3636,0.7499,0.9667,0.9,0,Machine Learning Engineer at Rephrase.ai; NLP Engineer at Meta,,"6.9 years of experience as a Machine Learning Engineer with evidence of Machine Learning Engineer at Rephrase.ai, NLP Engineer at Meta. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Bangalore, Karnataka.",MAYBE,production exp less
CAND_0055992,9,0.7019,0.6667,1,0.3636,0.8169,0.5,0.9,0,AI Engineer at CRED; Senior Data Scientist at Aganitha; AI Engineer at Observe.AI,,"16.9 years of experience as a AI Engineer with evidence of AI Engineer at CRED, Senior Data Scientist at Aganitha. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Sydney.",MAYBE,production exp less
CAND_0011687,10,0.6974,0.6667,0.94,0.3636,0.8445,0.7333,0.7,0,Senior NLP Engineer at Niramai; Senior Machine Learning Engineer at Krutrim,,"7.8 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Niramai, Senior Machine Learning Engineer at Krutrim. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Indore, Madhya Pradesh.",MAYBE,production exp less
